ID,SIG,ROSMSG1,ROSMSG2
1838,Curvature,left_lane,curvature
1838,Curvature_Derivative,left_lane,curvature_derivative
1838,Lane_Location_Type,left_lane,lane_location_type
1838,Lane_Type,left_lane,lane_type
1838,Position,left_lane,position
1838,Quaility,left_lane,quaility
1839,Heading_Angle,left_lane,heading_angle
1839,Lane_Crossing,left_lane,lane_crossing
1839,Lane_View_Range_End,left_lane,lane_view_range_end
1839,Lane_View_Range_Start,left_lane,lane_view_range_start
1839,Lane_mark_color,left_lane,lane_mark_color
1839,Position_STD,left_lane,position_std
1839,TLC,left_lane,tlc
1839,Width_marking,left_lane,width_marking
1840,Curvature,right_lane,curvature
1840,Curvature_Derivative,right_lane,curvature_derivative
1840,Lane_Location_Type,right_lane,lane_location_type
1840,Lane_Type,right_lane,lane_type
1840,Position,right_lane,position
1840,Quaility,right_lane,quaility
1841,Heading_Angle,right_lane,heading_angle
1841,Lane_Crossing,right_lane,lane_crossing
1841,Lane_View_Range_End,right_lane,lane_view_range_end
1841,Lane_View_Range_Start,right_lane,lane_view_range_start
1841,Lane_mark_color,right_lane,lane_mark_color
1841,Position_STD,right_lane,position_std
1841,TLC,right_lane,tlc
1841,Width_marking,right_lane,width_marking
1844,Curvature,next_left_lane,curvature
1844,Curvature_Derivative,next_left_lane,curvature_derivative
1844,Lane_Location_Type,next_left_lane,lane_location_type
1844,Lane_Type,next_left_lane,lane_type
1844,Position,next_left_lane,position
1844,Quaility,next_left_lane,quaility
1845,Heading_Angle,next_left_lane,heading_angle
1845,Lane_Crossing,next_left_lane,lane_crossing
1845,Lane_View_Range_End,next_left_lane,lane_view_range_end
1845,Lane_View_Range_Start,next_left_lane,lane_view_range_start
1845,Lane_mark_color,next_left_lane,lane_mark_color
1845,Position_STD,next_left_lane,position_std
1845,TLC,next_left_lane,tlc
1845,Width_marking,next_left_lane,width_marking
1846,Curvature,next_right_lane,curvature
1846,Curvature_Derivative,next_right_lane,curvature_derivative
1846,Lane_Location_Type,next_right_lane,lane_location_type
1846,Lane_Type,next_right_lane,lane_type
1846,Position,next_right_lane,position
1846,Quaility,next_right_lane,quaility
1847,Heading_Angle,next_right_lane,heading_angle
1847,Lane_Crossing,next_right_lane,lane_crossing
1847,Lane_View_Range_End,next_right_lane,lane_view_range_end
1847,Lane_View_Range_Start,next_right_lane,lane_view_range_start
1847,Lane_mark_color,next_right_lane,lane_mark_color
1847,Position_STD,next_right_lane,position_std
1847,TLC,next_right_lane,tlc
1847,Width_marking,next_right_lane,width_marking
1793,LongitudinalDistanceSTD,obstacle[0],longitudinal_distance_std
1793,ObstacleID,obstacle[0],obstacle_id
1793,ObstacleMeasured,obstacle[0],obstacle_measured
1793,ObstaclePosX,obstacle[0],obstacle_pos_x
1793,ObstaclePosY,obstacle[0],obstacle_pos_y
1793,ObstacleValid,obstacle[0],obstacle_valid
1793,ObstacleVelX,obstacle[0],obstacle_vel_x
1794,BlinkerInfo,obstacle[0],blinker_info
1794,Inverse_TTC,obstacle[0],inverse_ttc
1794,ObstacleAge,obstacle[0],obstacle_age
1794,ObstacleBrakeLights,obstacle[0],obstacle_brake_lights
1794,ObstacleLane,obstacle[0],obstacle_lane
1794,ObstacleStatus,obstacle[0],obstacle_status
1794,ObstacleType,obstacle[0],obstacle_type
1794,ObstacleWidth,obstacle[0],obstacle_width
1795,AngleSTD,obstacle[0],angle_std
1795,ObstacleAngleLeft,obstacle[0],obstacle_angle_left
1795,ObstacleAngleRate,obstacle[0],obstacle_angle_rate
1795,ObstacleAngleRight,obstacle[0],obstacle_angle_right
1795,Obstacle_Accel_X,obstacle[0],obstacle_accel_x
1796,LongitudinalDistanceSTD,obstacle[1],longitudinal_distance_std
1796,ObstacleID,obstacle[1],obstacle_id
1796,ObstacleMeasured,obstacle[1],obstacle_measured
1796,ObstaclePosX,obstacle[1],obstacle_pos_x
